"Date","Hour","Load","RIV_Temp","RIV_Humi","LAX_Temp","LAX_Humi","USC_Temp","USC_Humi","WJF_Temp","WJF_Humi","TRM_Temp","TRM_Humi","Weekday","Month","Mean_Temp","Mean_Humi"
2014-01-01,0,9891,48,48,53,93,49.6666666666667,89.1666666666667,30,45,42,45,"Wednesday",1,44.5333333333333,64.0333333333333
2014-01-01,1,9553,44,53,54,92.6666666666667,49.25,90,30,45,41,43,"Wednesday",1,43.65,64.7333333333333
2014-01-01,2,9222,42,55,54,94.6666666666667,49,90.6666666666667,27,51,37,54,"Wednesday",1,41.8,69.0666666666667
2014-01-01,3,9024,44,51,50,95,47,90,26,51,40,43,"Wednesday",1,41.4,66
2014-01-01,4,8987,43,51,50,94.3333333333333,46,88,24,55,38,44,"Wednesday",1,40.2,66.4666666666667
2014-01-01,5,9028,42,55,47,95.3333333333333,45,90.6666666666667,25,50,41,41,"Wednesday",1,40,66.4
2014-01-01,6,9136,43,47,46.5,98.5,44.6666666666667,81.6666666666667,26,53,35,57,"Wednesday",1,39.0333333333333,67.4333333333333
2014-01-01,7,8882,45,46,49,90,45,81.6666666666667,28,47,42,45,"Wednesday",1,41.8,61.9333333333333
2014-01-01,8,9020,53,35,53,66,51.5,71.5,36,39,52,28,"Wednesday",1,49.1,47.9
2014-01-01,9,9180,58,32,57,58,58,51,43,29,61,18,"Wednesday",1,55.4,37.6
2014-01-01,10,9330,62,29,59.5,49,63,40,51,22,65,17,"Wednesday",1,60.1,31.4
2014-01-01,11,9361,69,21,62,50,66,30,57,16,70,10,"Wednesday",1,64.8,25.4
2014-01-01,12,9376,73,13,60.5,72,71,30,60,13,73,9,"Wednesday",1,67.5,27.4
2014-01-01,13,9371,75,15,60,72,66,49,63,12,74,11,"Wednesday",1,67.6,31.8
2014-01-01,14,9402,76,12,62,62,67,51,66,13,74,12,"Wednesday",1,69,30
2014-01-01,15,9523,75,14,62,62,67,53,65,14,73,12,"Wednesday",1,68.4,31
